ss1,ss2,ss3
2.5926231280713462e-5,3.5825163801873596e-6,8.985201113046578e-6
4.914031943409819e-7,3.2496791386721355e-5,6.070260154100079e-6
1.7871898482862348e-5,1.9263328110933587e-5,1.7483675169002055e-5
7.062531852733165e-6,6.141069627171399e-6,3.5402222101505215e-5
3.0122877861482224e-5,6.502282852471326e-6,8.60593502637357e-6
1.8173275543741866e-5,5.5305116532596235e-5,2.7325322639672163e-6
1.530137582711725e-5,9.754725014564816e-6,1.5250817069702813e-5
7.536841281024219e-6,2.6184181524733344e-5,3.183115528708103e-5
2.2160790619111644e-5,3.6728154123031232e-6,1.1715899301590433e-5
3.6086510055267146e-5,1.5458011828122053e-5,2.166609867307929e-5
5.1543472710553095e-6,7.535367323670476e-7,8.265739526191903e-6
7.261881234614911e-6,1.6376775674887362e-5,1.0237369962298947e-5
3.5102110659363844e-6,2.780760754525158e-5,2.7151916323945577e-6
2.478042437142658e-5,7.636308444707268e-5,4.240474323602863e-5
1.799767061094258e-5,1.3392005965512313e-5,2.9235648686168163e-5
2.12516073814404e-5,1.6836395741823598e-5,1.224264881894534e-5
5.012753371600302e-5,1.7191971796757356e-5,2.1691147694283093e-5
8.115158433091478e-6,2.1714282874041044e-5,9.466548191225783e-6
6.719430662022979e-6,6.048157258543961e-5,1.7263969539332015e-5
2.485739747142655e-5,9.093883743424312e-7,6.27722330139363e-6
1.7932892911285428e-5,5.9150929382401456e-5,6.1155762378050485e-6
1.1242251576210444e-5,6.1111511682742396e-6,3.992327974377021e-6
1.4814869810970792e-5,3.2022803327053633e-5,2.484935223968032e-5
2.0364202930298718e-5,1.5957816643125563e-5,4.33836328841863e-6
2.9446839059903187e-5,1.6067391117732996e-5,7.2916319344426685e-6
2.195187601702929e-5,1.2527783800430427e-5,2.5358145528828487e-5
4.4356851452021356e-5,4.138660189786503e-5,5.8116916682339916e-5
7.188466435412966e-5,0.00010416651200208605,1.307981903110726e-5
3.244769772260152e-5,1.747833075880855e-5,1.4046527784365171e-5
2.221698241795935e-5,1.5339199766531513e-5,3.752122394135734e-5
